"POINT(889669.333393715 5838268.67812021)","Burge",0,3682123209
"POINT(934897.217988623 5942119.97157539)","Bürgenstock",1127,26863095
"POINT(867780.348148103 5896904.53080158)","Burgfeldstand",2063,1276246921
"POINT(849253.634538512 5888526.47939084)","Burgflue",979,2035401373
"POINT(832358.875795901 6005324.8109022)","Burgholle",632,6173815271
"POINT(950376.89449622 5984222.51707758)","Bürglenstutz",915,925637613
"POINT(830008.453803394 5916451.0613876)","Bütschelegg",1056,286879203
"POINT(966736.674029977 5886605.08768524)","Calmut",2310,764544956
"POINT(977719.321408252 5811110.45651522)","Cardada",1340,348652049
"POINT(1007824.00790093 5790602.92494739)","Catelina",1601,5456974114
"POINT(989965.166708304 5785297.70055597)","Cervello",974,7958958185
"POINT(947965.257915725 6008278.15054089)","Chäferberg",571,1935575274
"POINT(967668.01741775 5947316.24592851)","Chalberstöckli",1550,6602442959
"POINT(957130.01348155 5957364.51294605)","Chänzeli",0,2523352378
"POINT(970655.131237849 6065434.19463668)","Chapf",545,1711069529
"POINT(1044868.87465127 5949987.64979852)","Chapfenstein",1057,3431838766
"POINT(962203.065315981 5937762.02019724)","Charenstöckli",1811,2529348030
"POINT(1036693.35974038 5967379.38716741)","Chäserrugg",2262,243845595
"POINT(707480.826871293 5880972.55612024)","Châtel",1432,444604881
"POINT(794653.750881769 5841584.19830614)","Châtillon",2478,436188699
"POINT(852363.723000091 5997836.02597394)","Chatzestäg",827,5078683018
"POINT(903440.033078653 6028728.31149911)","Cheisacher Bergkuppe",698,6567585930
"POINT(1005803.49235134 5992807.66768041)","Chellenspitz",1201,3444684934
"POINT(912196.390828605 6011805.39131241)","Chestenberg",645,623409128
"POINT(1027844.68473671 5955465.65771779)","Chli Güslen",1868,5801827631
"POINT(928542.645044231 5930032.96839507)","Chli Horn",1786,4344887323
"POINT(995269.629500197 6003434.16860114)","Chlihörnli",1073,6202300989
"POINT(989213.069964607 5954671.31280922)","Chli Mutzenstein",1504,1348201620
"POINT(912063.397432954 5904364.80854858)","Chline Gibel",1999,5464047887
"POINT(857880.327345588 5992200.02529409)","Chluser Roggen",773,6330370702
"POINT(1090333.60259479 5871464.94388163)","Cho dal Buoch",2674,6835738413
"POINT(876533.177070196 6023139.58351966)","Chopfhölzli",678,6331683073
"POINT(984687.231351068 6057610.51330208)","Chroobach",681,6886446093
"POINT(888864.894225446 5948860.06852188)","Chrüzhubel",1103,4649534870
"POINT(1003076.14256301 5991046.22602594)","Chümibarren",1314,386231854
"POINT(793992.746877388 5952194.37259353)","Chüngeliinsel",444,4419882704
"POINT(815311.297656328 5944493.96435678)","Chutze",820,828647515
"POINT(1009277.20592959 5790997.65499386)","Cima alla Pianca",1599,5456974115
