30268669,"Au ZH","POINT(962249.251772711 5982471.13025107)",NULL,"pt"
30268680,"Horgen","POINT(956955.854138204 5984892.2443379)",NULL,"pt"
30268687,"Oberrieden","POINT(954976.304161224 5987823.45622742)",NULL,"pt"
30268690,"Thalwil","POINT(953402.669575471 5990519.15007009)",NULL,"pt"
30268691,"Rüschlikon","POINT(952356.344285658 5992309.62499586)",NULL,"pt"
30268694,"Kilchberg","POINT(951547.463469707 5995192.28549935)",NULL,"pt"
30268701,"Zürich Wollishofen","POINT(949985.784597266 5999049.90873524)",NULL,"pt"
30268706,"Zürich Enge","POINT(949637.688549556 6001688.85975807)","Zürich Enge","pt"
30270490,"Wädenswil","POINT(965725.792866032 5979614.01712016)",NULL,"pt"
30270501,"Richterswil","POINT(969307.252579426 5976192.42030904)",NULL,"pt"
30314341,"Rombacherhof","POINT(895310.047839497 6007778.46196546)","Rombach, Rombacherhof","pt"
30314393,"Küttigen Kreuz","POINT(895827.883846769 6010355.74760256)","Küttigen, Kreuz","pt"
30414720,"Lenzburg Bahnhof","POINT(909677.2641478 6006040.99302121)","Lenzburg, Bahnhof","pt"
30440600,"Stoos (Mettlen/Fronalpstock)","POINT(964327.48647828 5938915.6769202)",NULL,"pt"
30440602,"Mettlen (Stoos)","POINT(963615.754181944 5938295.79731392)",NULL,"pt"
30440604,"Mettlen (Fronalpstock)","POINT(963558.146345459 5938313.89119616)",NULL,"pt"
30440606,"Fronalpstock","POINT(961487.659476449 5937095.15875049)","Fronalpstock","pt"
30499220,"Swiss Holiday Park","POINT(959220.426539412 5938993.96449034)","Morschach, Swiss Holiday Park","pt"
30499267,"Schwyzerhöhe","POINT(960628.740549386 5940284.04837134)","Morschach, Schwyzerhöhe","pt"
30505908,"Pannerhof","POINT(929179.926865124 5962005.55278734)","Inwil, Pannerhof","pt"
30512274,"Hochdorfstrasse","POINT(925849.35902008 5967098.85838082)","Ballwil, Hochdorfstrasse","pt"
30757306,"Schinzenhof","POINT(957034.545886246 5984727.67405954)","Horgen, Schinzenhof","pt"
30757376,"Giessen","POINT(966591.079267969 5978635.51952826)","Wädenswil, Giessen","pt"
30757421,"Bäch Bahnhof","POINT(971548.993353072 5974989.93742039)","Bäch SZ, Bahnhof","pt"
30757425,"Bäch Schulhaus","POINT(972220.427993741 5975468.78380499)","Bäch SZ, Schulhaus","pt"
30757444,"Grütze","POINT(975392.031605932 5975493.55837157)","Freienbach, Grütze","pt"
30757445,"Grütze","POINT(975313.840795599 5975506.14230544)","Freienbach, Grütze","pt"
30757457,"Pfäffikon SZ, Huob","POINT(977823.917201802 5975052.24740053)",NULL,"pt"
30863780,"Glattfelden","POINT(948891.102120653 6032158.90517593)","Glattfelden","pt"
30863822,"Bülach","POINT(950234.294228513 6028013.019534)",NULL,"pt"
30865205,"Niederglatt","POINT(946625.839538602 6021981.59159238)",NULL,"pt"
30865270,"Rümlang","POINT(949914.261824432 6016502.38319158)",NULL,"pt"
30865307,"Glattbrugg","POINT(952755.424660152 6012673.25350698)",NULL,"pt"
31273223,"Schwerzenbach ZH","POINT(963886.549975248 6005021.54845819)",NULL,"pt"
31273905,"Weinburg","POINT(869466.12598888 6010596.71287432)","Diegten, Weinburg","pt"
31367695,"Mühlehorn, Bahnhof","POINT(1021166.42810894 5961305.1633071)",NULL,"pt"
